NAMA_UNIV;ALAMAT;SCORE_AYOKULIAH;RASIO_DOSEN&MHS;AKREDITASI;PERSENTASE_PENERIMAAN;JUMLAH_
UNIVERSITAS INDONESIA;"Pd. Cina, Beji
Depok";95;1:20;A;"2.39 % 

 ";244 
INSTITUT TEKNOLOGI BANDUNG;"Jl. Ganesha 10
Bandung";92;1:2;A;"4.75 % 

 ";148 
UNIVERSITAS GADJAH MADA;"Bulaksumur, Caturtunggal, Depok
Sleman";89;1:27;A;"2.88 % 

 ";274 
INSTITUT PERTANIAN BOGOR;"Jl. Raya Darmaga Kampus IPB Darmaga
Bogor";85;1:22;A;"2.59 % 

 ";200 
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;"Kampus ITS Sukolilo
Surabaya";83;1:16;A;"3.55 % 

 ";64 
UNIVERSITAS AIRLANGGA;"Jl. Airlangga No. 4 - 6, Airlangga, Gubeng, 
Surabaya";83;1:2;A;"4.47 % 

 ";170 
UNIVERSITAS PADJADJARAN;"Jalan Dipati Ukur No 35
Bandung";82;1:16;A;"3.33 % 

 ";177 
UNIVERSITAS LAMPUNG;"Jl Sumantri Brojonegoro No 1 Gedong Meneng
Bandar Lampung";81;1:19;A;"3.84 % 

 ";107 
UNIVERSITAS DIPONEGORO;"Jl Prof H Soedarto, SH Kampus Tembalang
Semarang";81;1:26;A;"3.68 % 

 ";133 
UNIVERSITAS SEBELAS MARET;"Jalan Ir Sutami 36-A Kentingan
Surakarta";81;1:18;A;"3.98 % 

 ";173 
UNIVERSITAS INDONESIA;"Pd. Cina, Beji
									Depok";95;1:20;A;"2.39 % 

 ";244 
INSTITUT TEKNOLOGI BANDUNG;"Jl. Ganesha 10
									Bandung";92;1:2;A;"4.75 % 

 ";148 
UNIVERSITAS GADJAH MADA;"Bulaksumur, Caturtunggal, Depok
									Sleman";89;1:27;A;"2.88 % 

 ";274 
INSTITUT PERTANIAN BOGOR;"Jl. Raya Darmaga Kampus IPB Darmaga
									Bogor";85;1:22;A;"2.59 % 

 ";200 
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;"Kampus ITS Sukolilo
									Surabaya";83;1:16;A;"3.55 % 

 ";64 
UNIVERSITAS AIRLANGGA;"Jl. Airlangga No. 4 - 6, Airlangga, Gubeng, 
									Surabaya";83;1:2;A;"4.47 % 

 ";170 
UNIVERSITAS PADJADJARAN;"Jalan Dipati Ukur No 35
									Bandung";82;1:16;A;"3.33 % 

 ";177 
UNIVERSITAS LAMPUNG;"Jl Sumantri Brojonegoro No 1 Gedong Meneng
									Bandar Lampung";81;1:19;A;"3.84 % 

 ";107 
UNIVERSITAS DIPONEGORO;"Jl Prof H Soedarto, SH Kampus Tembalang
									Semarang";81;1:26;A;"3.68 % 

 ";133 
UNIVERSITAS SEBELAS MARET;"Jalan Ir Sutami 36-A Kentingan
									Surakarta";81;1:18;A;"3.98 % 

 ";173 
UNIVERSITAS BRAWIJAYA;"Jalan Veteran
									Kec. Lowokwaru - Kota Malang - Prop. Jawa Timur";81;1:31;A;"5.44 % 

 ";160 
UNIVERSITAS NEGERI YOGYAKARTA;"Kampus Karangmalang Yogyakarta
									Sleman";81;1:26;A;"2.74 % 

 ";136 
UNIVERSITAS SYIAH KUALA;"Universitas Syiah Kuala  Jln. Teuku Nyak Arief Darussalam, Banda Aceh, Aceh, 2
									Banda Aceh";80;1:20;A;"3.43 % 

 ";130 
UNIVERSITAS ANDALAS;"Kampus Universitas Andalas Limau Manis
									Padang";80;1:13;A;"2.95 % 

 ";117 
UNIVERSITAS NEGERI MALANG;"Jalan Semarang 5 Malang
									Malang";80;1:12;A;"5.11 % 

 ";123 
UNIVERSITAS PENDIDIKAN INDONESIA;"Jalan Dr Setiabudhi No 229
									Bandung";80;1:47;A;"3.94 % 

 ";174 
UNIVERSITAS SRIWIJAYA;"Jl Raya Palembang Prabumulih Km. 32 Inderalaya Ogan Komering Ilir
									Palembang";80;1:21;A;"3.82 % 

 ";119 
UNIVERSITAS NEGERI SEMARANG;"Gedung H (Rektorat) Kampus Unnes Sekaran Gunungpati
									Semarang";80;1:23;A;"4.54 % 

 ";94 
UNIVERSITAS HASANUDDIN;"Jl. Perintis Kemerdekaan Km.10 Makassar, 90245
Sulawesi Selatan
									Makassar";80;1:1;A;"2.08 % 

 ";110 
UNIVERSITAS MUHAMMADIYAH MALANG;"Jalan Raya Tlogomas No 246
									Malang";79;1:6;A;"100.00 % 

 ";60 
UNIVERSITAS SUMATERA UTARA;"Jalan Dr T Mansur No 9 Padang Bulan
									Medan";79;1:26;A;"3.47 % 

 ";158 
UNIVERSITAS BENGKULU;"Jl. W.R. Supratman, Kandang Limun, Muara Bangka Hulu
									Bengkulu";79;1:24;B;"5.01 % 

 ";35 
UNIVERSITAS RIAU;"Kampus Bina Widya Simpang Baru
									Pekanbaru";79;1:28;A;"7.53 % 

 ";92 
UNIVERSITAS UDAYANA;"Jl.Kampus Bukit UNUD Jimbaran ,Badung-Bali
									Badung";78;1:12;A;"5.12 % 

 ";112 
UNIVERSITAS NEGERI MEDAN;"Jalan Willem Iskandar Pasar V Medan Estate
									Medan";77;1:20;A;"3.42 % 

 ";76 
UNIVERSITAS JENDERAL SOEDIRMAN;"Jl Prof Dr HR Boenyamin 708
									Banyumas";76;1:16;A;"2.72 % 

 ";78 
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA;"Jalan Marsda Adisucipto No 1
									Sleman";76;1:31;A;"4.38 % 

 ";53 
UNIVERSITAS JEMBER;"Jalan Kalimantan No 37 Kampus Tegalboto
									Jawa Timur";76;1:23;A;"4.52 % 

 ";173 
UNIVERSITAS NEGERI SURABAYA;"Jalan Ketintang
									Surabaya";75;1:28;A;"3.75 % 

 ";117 
UNIVERSITAS SAM RATULANGI;"Kampus Unsrat Bahu
									Manado";73;1:11;A;"17.00 % 

 ";77 
UNIVERSITAS NEGERI PADANG;"Jalan Prof Dr Hamka Kampus Air Tawar Padang Sumatera Barat
									Padang";72;1:30;A;"2.61 % 

 ";115 
UNIVERSITAS PENDIDIKAN GANESHA;"Jalan Udatana Nomor 11 Singaraja
									Buleleng";72;1:29;B;"40.71 % 

 ";58 
UNIVERSITAS NEGERI MAKASSAR;"Jalan A P Pettarani Gunungsari
									Makassar";71;1:29;A;"3.12 % 

 ";119 
UNIVERSITAS NEGERI GORONTALO;"Jalan Jenderal Sudirman No 6 Kec. Kota Tengah Kel. Wumialo
									Gorontalo";71;1:2;A;"7.38 % 

 ";100 
UNIVERSITAS NUSA CENDANA;"Jl. Adisucipto, Penfui-Kupang, Lasiana, Klp. Lima
									Kupang";71;1:15;B;"6.50 % 

 ";63 
UNIVERSITAS MULAWARMAN;"Jalan Kuaro Gunung Kelua
									Samarinda";70;1:33;A;"7.94 % 

 ";81 
UNIVERSITAS TADULAKO;"Kampus Bumi Tadulako Tondo
									Palu";70;1:18;B;"7.45 % 

 ";73 
UNIVERSITAS SULTAN AGENG TIRTAYASA;"Jl Raya Jakarta Km 4 Pakupatan
									Serang";70;1:27;B;"4.81 % 

 ";46 
UNIVERSITAS NEGERI JAKARTA;"Jalan Rawamangun Muka
									D.K.I. Jakarta";69;1:44;A;"2.70 % 

 ";125 
UNIVERSITAS JAMBI;"Jl. Raya Jambi Muara Bulian Km 15
									Muaro Jambi";69;1:21;B;"4.29 % 

 ";96 
UNIVERSITAS TRUNOJOYO;"Jalan Raya Telang PO. Box 2 Kamal
									Bangkalan";68;1:33;B;"8.39 % 

 ";30 
UNIVERSITAS TANJUNGPURA;"Jalan Jenderal Ahmad Yani
									Pontianak";67;1:30;B;"4.01 % 

 ";103 
UNIVERSITAS MATARAM;"Jalan Majapahit No 62
									Mataram";66;1:14;B;"3.13 % 

 ";57 
UNIVERSITAS LAMBUNG MANGKURAT;"Jalan Brigjen H Hasan Basri
									Banjarmasin";59;1:14;B;"7.84 % 

 ";102 
UNIVERSITAS ISLAM NEGERI SULTHAN SYARIF KASIM;"Jl. H.R Soebrantas No 155 KM.15 Simpang Baru Panam Pekanbaru
									Pekanbaru";57;1:45;B;"13.03 % 

 ";45 
UNIVERSITAS BANGKA BELITUNG;"Jalan Merdeka No. 4
									Pangkalpinang";55;1:3;C;"12.69 % 

 ";28 
UNIVERSITAS PATTIMURA;"Jalan Ir M Putuhena, Kampus Poka, AMBON
									Ambon";54;1:10;B;"9.46 % 

 ";60 
UNIVERSITAS NEGERI MANADO;"Jalan Kampus Unima
									Minahasa";53;1:19;B;"31.33 % 

 ";79 
UNIVERSITAS BORNEO TARAKAN;"Jl. Amal Lama No.01 Tarakan
									Tarakan";52;1:27;B;"15.90 % 

 ";20 
UNIVERSITAS HALU OLEO;"Kampus Bumi Tridharma Anduonohu, Jalan H.E.A. Mokodompit, Kodya Kendari, Sulawesi
									Kendari";49;1:24;B;"7.66 % 

 ";95 
UNIVERSITAS ISLAM MALANG;"Jalan Mayjen Haryono No 193
									Malang";46;1:34;B;"5.23 % 

 ";29 
UNIVERSITAS MUHAMMADIYAH GRESIK;"Jalan Sumatera No 101 Gresik Kta Baru (GKB) Gresik
									Gresik";45;1:;B;"54.72 % 

 ";32 
UNIVERSITAS CENDERAWASIH;"Kampus Uncen Waena Jl Camp Wolker
									Jayapura";41;1:25;B;"5.57 % 

 ";69 
UNIVERSITAS MUSAMUS MERAUKE;"Jalan Kamizaun Mopah Lama Merauke
									Merauke";37;1:20;B;"24.01 % 

 ";49 
UNIVERSITAS KHAIRUN;"Jalan Pertamina Kampus II Gambesi
									Ternate";35;1:19;B;"13.02 % 

 ";37 
